id,race,level,name,hp,mp,sword,strike,gun,fire,ice,elec,wind,light,dark,almighty,drops,appears
1000,Fool,91,Orpheus Telos,0,0,rs,rs,rs,rs,rs,rs,rs,rs,rs,no,,
1001,Fool,77,Susano-o,0,0,no,no,rp,no,no,wk,nu,wk,no,no,,
1002,Fool,69,Loki,0,0,no,no,no,wk,nu,no,ab,no,rs,no,,
1003,Fool,54,Decarabia,0,0,wk,no,no,no,no,no,no,no,no,no,,
1004,Fool,41,Ose,0,0,no,rs,no,rs,no,no,no,wk,nu,no,,
1005,Fool,37,Black Frost,0,0,no,no,no,nu,ab,no,no,wk,rp,no,,
1006,Fool,26,Legion,0,0,rs,rs,wk,rs,no,no,no,wk,no,no,,
1007,Fool,12,Slime,0,0,rs,rs,no,wk,no,no,wk,no,rs,no,,
1008,Fool,1,Orpheus,0,0,no,no,no,rs,no,wk,no,no,wk,no,,
1009,Magician,74,Futsunushi,0,0,nu,rs,no,no,no,rs,no,no,wk,no,,
1010,Magician,60,Surt,0,0,no,no,no,ab,wk,no,no,no,no,no,,
1011,Magician,50,Rangda,0,0,no,rp,no,rs,wk,wk,no,no,no,no,,
1012,Magician,39,Orobas,0,0,no,no,no,no,wk,no,nu,no,rs,no,,
1013,Magician,29,Sati,0,0,no,no,no,nu,wk,no,no,no,no,no,,
1014,Magician,19,Hua Po,0,0,no,no,no,nu,wk,no,no,no,nu,no,,
1015,Magician,15,Jack-o'-Lantern,0,0,no,no,no,nu,wk,no,no,no,no,no,,
1016,Magician,8,Jack Frost,0,0,no,no,no,wk,nu,no,no,no,no,no,,
1017,Magician,3,Nekomata,0,0,no,no,no,no,no,wk,rs,no,no,no,,
1018,Magician P,1,Hermes,0,0,no,no,no,rs,no,no,wk,no,no,no,,
1019,Priestess,75,Scathach,0,0,no,no,nu,wk,nu,no,rs,rs,no,no,,
1020,Priestess,61,Kikuri-Hime,0,0,no,no,no,wk,nu,no,rs,rs,no,no,,
1021,Priestess,48,Parvati,0,0,no,no,no,wk,nu,no,no,no,no,no,,
1022,Priestess,41,Ganga,0,0,no,no,rs,wk,rs,no,no,rs,wk,no,,
1023,Priestess,32,Sarasvati,0,0,no,no,no,no,nu,wk,no,rs,no,no,,
1024,Priestess,20,High Pixie,0,0,no,no,no,no,nu,no,wk,no,no,no,,
1025,Priestess,11,Unicorn,0,0,no,no,no,no,nu,no,wk,nu,wk,no,,
1026,Priestess,2,Apsaras,0,0,no,no,no,wk,rs,no,no,no,no,no,,
1027,Priestess P,18,Lucia,0,0,no,no,no,no,no,no,no,no,no,no,,
1028,Empress,84,Alilat,0,0,rp,rp,no,wk,nu,no,rs,no,wk,no,,
1029,Empress,77,Mother Harlot,0,0,no,nu,no,wk,no,rp,wk,no,nu,no,,
1030,Empress,68,Skadi,0,0,no,no,no,wk,ab,no,rs,no,no,no,,
1031,Empress,62,Gabriel,0,0,no,no,no,no,ab,no,wk,nu,wk,no,,
1032,Empress,48,Hariti,0,0,no,no,no,no,ab,wk,no,ab,no,no,,
1033,Empress,32,Yakshini,0,0,no,no,rs,wk,nu,no,no,no,no,no,,
1034,Empress,21,Leanan Sidhe,0,0,no,no,no,wk,no,no,rs,no,no,no,,
1035,Empress P,20,Penthesilea,0,0,no,no,no,wk,rs,no,no,no,no,no,,
1036,Emperor,74,Odin,0,0,no,no,no,no,no,ab,wk,no,no,no,,
1037,Emperor,63,Barong,0,0,no,no,no,no,no,nu,wk,nu,no,no,,
1038,Emperor,53,Belphegor,0,0,no,no,no,wk,rs,rs,no,wk,ab,no,,
1039,Emperor,43,Naga Raja,0,0,no,no,rs,wk,no,nu,no,no,no,no,,
1040,Emperor,34,King Frost,0,0,no,no,no,wk,ab,no,no,no,no,no,,
1041,Emperor,23,Take-Mikazuchi,0,0,rs,no,no,no,no,nu,wk,no,no,no,,
1042,Emperor,16,Oberon,0,0,no,no,no,no,wk,nu,no,rs,rs,no,,
1043,Emperor,7,Forneus,0,0,no,no,no,no,rs,wk,no,no,no,no,,
1044,Emperor P,14,Polydeuces,0,0,no,no,no,no,wk,rs,no,no,no,no,,
1045,Hierophant,71,Kohryu,0,0,no,no,no,no,no,rp,no,nu,no,no,,
1046,Hierophant,59,Daisoujou,0,0,no,no,no,no,no,no,no,nu,wk,no,,
1047,Hierophant,48,Mishaguji,0,0,no,no,no,no,wk,nu,no,no,nu,no,,
1048,Hierophant,40,Thoth,0,0,no,wk,no,no,no,nu,no,nu,wk,no,,
1049,Hierophant,33,Flauros,0,0,no,no,no,nu,wk,no,rs,no,no,no,,
1050,Hierophant,23,Shiisaa,0,0,no,rs,no,wk,nu,no,no,rs,no,no,,
1051,Hierophant,13,Berith,0,0,no,no,no,rs,no,wk,rs,no,no,no,,
1052,Hierophant,7,Omoikane,0,0,no,no,no,no,no,rs,no,no,wk,no,,
1053,Hierophant P,39,Castor,0,0,no,no,no,no,no,no,no,no,no,no,,
1054,Lovers,67,Cybele,0,0,no,no,no,rs,nu,wk,no,rs,no,no,,
1055,Lovers,60,Raphael,0,0,no,no,no,rs,no,wk,nu,nu,wk,no,,
1056,Lovers,49,Titania,0,0,no,no,no,wk,nu,no,no,rs,no,no,,
1057,Lovers,36,Saki Mitama,0,0,no,wk,no,rs,rs,rs,rs,no,no,no,,
1058,Lovers,28,Queen Medb,0,0,no,no,no,rs,no,nu,wk,no,no,no,,
1059,Lovers,23,Narcissus,0,0,wk,no,no,no,rs,rs,rs,no,no,no,,
1060,Lovers,13,Tam Lin,0,0,rs,no,no,no,no,nu,no,rs,wk,no,,
1061,Lovers,5,Silky,0,0,no,no,no,wk,rs,wk,no,no,no,no,,
1062,Lovers,2,Pixie,0,0,no,no,no,no,wk,rs,no,no,no,no,,
1063,Lovers P,1,Io,0,0,no,no,no,no,no,wk,rs,no,no,no,,
1064,Chariot,64,Thor,0,0,no,nu,no,no,no,nu,wk,no,no,no,,
1065,Chariot,52,Koumokuten,0,0,no,rs,rs,no,no,wk,nu,no,no,no,,
1066,Chariot,45,Shiki-Ouji,0,0,no,rp,nu,wk,no,no,wk,rs,rs,no,,
1067,Chariot,31,Oni,0,0,no,rs,no,no,no,no,no,no,no,no,,
1068,Chariot,24,Mithras,0,0,rs,no,no,ab,no,wk,no,no,no,no,,
1069,Chariot,14,Zouchouten,0,0,no,rs,no,no,no,no,wk,no,no,no,,
1070,Chariot,9,Chimera,0,0,no,rs,no,rs,no,no,no,no,wk,no,,
1071,Chariot,6,Ara Mitama,0,0,no,rs,no,rs,no,no,wk,no,no,no,,
1072,Chariot P,27,Palladion,0,0,no,no,rs,no,no,wk,no,no,no,no,,
1073,Justice,66,Melchizedek,0,0,no,rp,no,no,no,no,wk,rp,no,no,,
1074,Justice,52,Throne,0,0,no,wk,no,nu,no,no,no,rp,wk,no,,
1075,Justice,42,Dominion,0,0,no,no,no,no,no,wk,rs,nu,wk,no,,
1076,Justice,32,Virtue,0,0,no,no,no,no,no,no,rs,rp,wk,no,,
1077,Justice,25,Power,0,0,no,no,rs,no,no,no,rs,nu,wk,no,,
1078,Justice,16,Principality,0,0,no,no,no,rs,no,no,no,nu,wk,no,,
1079,Justice,10,Archangel,0,0,rs,no,no,no,no,wk,no,nu,wk,no,,
1080,Justice,4,Angel,0,0,no,no,no,no,no,rs,no,rs,wk,no,,
1081,Justice P,37,Nemesis,0,0,no,no,no,no,no,no,no,rs,wk,no,,
1082,Hermit,68,Arahabaki,0,0,rp,wk,rp,no,wk,no,no,rs,wk,no,,
1083,Hermit,61,Kumbhanda,0,0,no,no,no,ab,no,no,nu,wk,rs,no,,
1084,Hermit,52,Nebiros,0,0,no,no,no,no,rp,no,no,wk,nu,no,,
1085,Hermit,46,Kurama Tengu,0,0,no,no,no,no,no,wk,ab,no,rs,no,,
1086,Hermit,38,Dakini,0,0,no,rs,no,rs,wk,no,no,no,no,no,,
1087,Hermit,31,Mothman,0,0,no,no,wk,rs,wk,rp,nu,no,rs,no,,
1088,Hermit,25,Lamia,0,0,no,wk,no,nu,no,rs,no,no,rs,no,,
1089,Hermit,17,Naga,0,0,no,wk,no,no,no,rs,no,no,rs,no,,
1090,Hermit,8,Onmoraki,0,0,wk,no,no,rs,no,no,rs,wk,no,no,,
1091,Fortune,73,Lakshmi,0,0,no,no,no,wk,nu,no,no,nu,no,no,,
1092,Fortune,65,Norn,0,0,no,no,no,nu,rp,wk,ab,no,no,no,,
1093,Fortune,56,Atropos,0,0,no,no,no,wk,no,no,nu,rs,rs,no,,
1094,Fortune,44,Lachesis,0,0,no,no,no,no,rs,wk,nu,no,no,no,,
1095,Fortune,37,Clotho,0,0,no,no,no,wk,no,no,nu,no,no,no,,
1096,Fortune,28,Kushi Mitama,0,0,no,no,no,wk,no,rs,nu,no,no,no,,
1097,Fortune,20,Sandman,0,0,no,no,no,nu,wk,wk,nu,no,no,no,,
1098,Fortune,15,Fortuna,0,0,no,no,no,nu,no,wk,nu,no,no,no,,
1099,Strength,72,Atavaka,0,0,no,no,nu,no,wk,no,no,nu,no,no,,
1100,Strength,63,Kali,0,0,rp,no,no,rs,no,no,wk,no,no,no,,
