id,race,level,name,hp,mp,phys,fire,ice,elec,wind,light,dark,almighty,drops,appears
1000,Fool,64,Loki,0,0,no,wk,ab,no,no,no,nu,no,,
1001,Fool,56,Shiki-Ouji,0,0,no,nu,nu,no,wk,no,no,no,,
1002,Fool,46,Decarabia,0,0,wk,no,no,nu,rs,nu,no,no,,
1003,Fool,38,Black Frost,0,0,no,ab,ab,no,no,no,rp,no,,
1004,Fool,31,Ose,0,0,rs,no,no,no,nu,wk,no,no,,
1005,Fool,21,Legion,0,0,no,rs,rs,no,no,wk,rs,no,,
1006,Fool,13,Obariyon,0,0,rs,rs,no,no,no,no,no,no,,
1007,Fool,7,Yomotsu-Shikome,0,0,no,wk,rs,no,no,no,no,no,,
1008,Fool,1,Izanagi,0,0,no,no,no,rs,wk,no,nu,no,,
1009,Magician,78,Mada,0,0,no,ab,wk,no,no,no,no,no,,
1010,Magician,69,Surt,0,0,no,rp,wk,no,nu,no,no,no,,
1011,Magician,62,Jinn,0,0,no,ab,no,wk,no,no,no,no,,
1012,Magician,47,Rangda,0,0,rp,no,wk,no,no,no,no,no,,
1013,Magician,39,Dis,0,0,no,rp,no,no,no,no,no,no,,
1014,Magician,32,Pyro Jack,0,0,no,ab,wk,no,no,no,no,no,,
1015,Magician,25,Hua Po,0,0,no,nu,wk,no,no,no,no,no,,
1016,Magician,16,Jack Frost,0,0,no,wk,nu,no,no,no,no,no,,
1017,Magician,8,Orobas,0,0,no,rs,wk,no,no,no,no,no,,
1018,Magician,2,Pixie,0,0,no,wk,no,no,rs,no,no,no,,
1019,Magician P,4,Jiraiya,0,0,no,no,no,wk,rs,no,no,no,,
1020,Priestess,79,Scathach,0,0,no,wk,ab,no,nu,no,no,no,,
1021,Priestess,70,Tzitzimitl,0,0,no,no,no,rp,wk,no,nu,no,,
1022,Priestess,59,Hariti,0,0,no,no,nu,wk,rs,no,no,no,,
1023,Priestess,48,Kikuri-Hime,0,0,no,nu,no,rs,no,no,wk,no,,
1024,Priestess,37,Parvati,0,0,no,wk,nu,no,no,no,no,no,,
1025,Priestess,29,Ganga,0,0,no,wk,ab,no,no,no,wk,no,,
1026,Priestess,22,High Pixie,0,0,no,no,wk,nu,no,no,no,no,,
1027,Priestess,17,Sarasvati,0,0,no,no,nu,no,wk,no,no,no,,
1028,Priestess,11,Saki Mitama,0,0,no,no,rs,no,wk,no,no,no,,
1029,Priestess P,15,Konohana Sakuya,0,0,no,rs,wk,no,no,no,no,no,,
1030,Empress,79,Isis,0,0,no,no,rp,wk,no,no,no,no,,
1031,Empress,70,Alilat,0,0,no,no,nu,wk,no,no,no,no,,
1032,Empress,60,Mother Harlot,0,0,no,no,rs,rp,wk,wk,nu,no,,
1033,Empress,52,Skadi,0,0,no,wk,ab,no,rs,no,no,no,,
1034,Empress,44,Gabriel,0,0,no,rs,no,no,ab,nu,wk,no,,
1035,Empress,34,Gorgon,0,0,no,no,nu,no,no,wk,no,no,,
1036,Empress,26,Titania,0,0,no,wk,nu,no,no,no,no,no,,
1037,Empress,18,Yaksini,0,0,no,wk,nu,rs,no,no,no,no,,
1038,Empress,9,Senri,0,0,no,nu,no,wk,no,no,no,no,,
1039,Emperor,74,Odin,0,0,no,wk,no,nu,ab,no,no,no,,
1040,Emperor,65,Barong,0,0,no,no,no,nu,wk,no,no,no,,
1041,Emperor,51,Pabilsag,0,0,no,nu,wk,no,no,wk,rp,no,,
1042,Emperor,45,Thoth,0,0,no,no,no,nu,wk,rp,wk,no,,
1043,Emperor,41,Okuninushi,0,0,no,no,no,rp,wk,no,no,no,,
1044,Emperor,34,Setanta,0,0,no,wk,no,nu,no,no,no,no,,
1045,Emperor,22,King Frost,0,0,no,wk,ab,no,no,no,no,no,,
1046,Emperor,12,Oberon,0,0,no,rs,no,nu,wk,no,no,no,,
1047,Emperor P,25,Take-Mikazuchi,0,0,no,no,no,rs,wk,no,no,no,,
1048,Hierophant,76,Kohryu,0,0,no,no,no,rp,no,nu,no,no,,
1049,Hierophant,70,Hachiman,0,0,no,no,nu,nu,no,no,wk,no,,
1050,Hierophant,60,Daisoujou,0,0,no,nu,no,no,no,nu,wk,no,,
1051,Hierophant,52,Cerberus,0,0,no,rp,wk,no,no,no,no,no,,
1052,Hierophant,45,Hokuto Seikun,0,0,no,wk,no,rp,no,no,no,no,,
1053,Hierophant,36,Flauros,0,0,no,nu,wk,no,rs,no,no,no,,
1054,Hierophant,29,Unicorn,0,0,no,no,nu,no,wk,no,wk,no,,
1055,Hierophant,21,Shiisaa,0,0,no,wk,rs,nu,no,no,wk,no,,
1056,Hierophant,15,Anzu,0,0,no,wk,no,rs,nu,no,no,no,,
